"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 21 17:44:55 GMT 2024","Wed Aug 21 17:44:56 GMT 2024","680","Surefire suite","Surefire test","api.PutReqresInTest","api.PutReqresInTest","testPutUpdate","testPutUpdate",""
"passed","Wed Aug 21 17:44:55 GMT 2024","Wed Aug 21 17:44:55 GMT 2024","523","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testRequestProductList","testRequestProductList",""
"passed","Wed Aug 21 17:44:52 GMT 2024","Wed Aug 21 17:44:55 GMT 2024","2266","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testApiGetAllProductsList","testApiGetAllProductsList",""
"passed","Wed Aug 21 17:45:05 GMT 2024","Wed Aug 21 17:45:05 GMT 2024","66","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testGetSingleUser","testGetSingleUser",""
"passed","Wed Aug 21 17:44:57 GMT 2024","Wed Aug 21 17:44:57 GMT 2024","282","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","loginUnSuccessFul","loginUnSuccessFul",""
"passed","Wed Aug 21 17:44:57 GMT 2024","Wed Aug 21 17:45:05 GMT 2024","7314","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testDelayedResponse","testDelayedResponse",""
"passed","Wed Aug 21 17:45:05 GMT 2024","Wed Aug 21 17:45:05 GMT 2024","242","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleResource","testSingleResource",""
"failed","Wed Aug 21 17:44:57 GMT 2024","Wed Aug 21 17:44:57 GMT 2024","280","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testCreatePost","testCreatePost",""
"passed","Wed Aug 21 17:44:57 GMT 2024","Wed Aug 21 17:44:57 GMT 2024","250","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testCreatePostPojo","testCreatePostPojo",""
"passed","Wed Aug 21 17:45:05 GMT 2024","Wed Aug 21 17:45:05 GMT 2024","283","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testListResource","testListResource",""
"failed","Wed Aug 21 17:45:06 GMT 2024","Wed Aug 21 17:45:06 GMT 2024","263","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleUserNotFound","testSingleUserNotFound",""
"passed","Wed Aug 21 17:44:56 GMT 2024","Wed Aug 21 17:44:56 GMT 2024","367","Surefire suite","Surefire test","api.PutReqresInTest","api.PutReqresInTest","testPutUpdateRequest","testPutUpdateRequest",""
"passed","Wed Aug 21 17:45:05 GMT 2024","Wed Aug 21 17:45:05 GMT 2024","128","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testGetUsers","testGetUsers",""
"failed","Wed Aug 21 17:45:05 GMT 2024","Wed Aug 21 17:45:06 GMT 2024","280","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleResourceNotFound","testSingleResourceNotFound",""
"passed","Wed Aug 21 17:44:56 GMT 2024","Wed Aug 21 17:44:57 GMT 2024","255","Surefire suite","Surefire test","api.DeleteReqresInTest","api.DeleteReqresInTest","testDelete","testDelete",""
